,id,owner,reels_id,has_audio,video_url,views,caption,comment,timestamp,likes,location,pinned,product_type
0,1,"{'id': '48971855142', 'username': 'thehorsereview'}",3644771531075588485,True,https://instagram.flos5-2.fna.fbcdn.net/o1/v/t16/f2/m86/AQMVF8m5fqt8OnGC_xj9yvdoZEWnB7VrvKRA7Xvt6aWszPW0af3GymC8R7k_tkw2h7gBMa4duPBQXtcuGc6nUvTtrD4Yggxx0HTMQ94.mp4?stp=dst-mp4&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLmNsaXBzLmMyLjcyMC5iYXNlbGluZSJ9&_nc_cat=106&vs=986516583563788_1123972487&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC82NzRGNEJFODgwMEE5OEQ0NEVDNDBCMEI1N0UwNkU4RV92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HTUhvN0IwdTBJN1NzYkFEQUhpYndEY0VEVlVNYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJriWp7vJ%2FNQ%2FFQIoAkMzLBdAKFT987ZFohgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&ccb=9-4&oh=00_AfIawY-nl96217s9FiAPBb4ID85cRe46IT31bBZEJ7GB3w&oe=683E1F11&_nc_sid=8b3546,0,"{'edges': [{'node': {'text': 'In 1948, a group of post-war dreamers in Germantown had a vision: a horse show that brought the community together through tradition, talent, and southern hospitality.\n\nToday—nearly 80 years later—that dream lives on through the Germantown Charity Horse Show, now a premier event drawing riders and spectators from across the country. But behind the blue ribbons and big wins is a showgrounds in need of updates… and a plan to ensure its future.\n\n💡 Enter the GCHS Showgrounds Improvement Initiative—a multi-phase project designed to:\n🔧 Modernize rings and barns\n🚧 Improve infrastructure and accessibility\n🏇 Expand opportunities for future generations\n\nWith GCHS 2025 kicking off Tuesday, June 3, there’s no better time to learn how you can help preserve this iconic event and the economic engine it fuels in the Mid-South.\n\n👉 Read the full story in bio link\n\nLet’s honor the past by building for the future—together.\n\n#GCHS2025 #GermantownCharityHorseShow #PreserveTheLegacy #EquestrianTradition #SupportLocalShows #TheHorseReview'}}]}",{'count': 0},2025-05-31 17:58:35,16,,,clips
1,3,"{'id': '5504881998', 'username': 'horses.mad'}",2306892561104463698,True,https://instagram.flos5-2.fna.fbcdn.net/o1/v/t16/f2/m84/AQNkCUwvHl6p2W_T2xDY_u1fkBy6cU8rPeq3AbPoUzob5D4lu5GUXoTrD8O_HS8IxyL-OdJzxGhqZAvWaJm6QEKML2Pho1KeFC3S-sI.mp4?stp=dst-mp4&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLmZlZWQuYzIuNjQwLmJhc2VsaW5lIn0&_nc_cat=103&vs=303479222383606_1873488396&_nc_vs=HBksFQIYTGlnX2JhY2tmaWxsX3RpbWVsaW5lX3ZvZC9DNzQ5RDkxOTI1RjlBQjBCNDNFRjg1QzA0RDlEMDlCNl92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HQmRGNVJaS3lhdnh4cmtBQU9GSnBjakNLQ00zYnBrd0FBQUYVAgLIARIAKAAYABsAFQAAJviw%2F%2Baa7MA%2FFQIoAkMzLBdAIzMzMzMzMxgSZGFzaF9iYXNlbGluZV8xX3YxEQB16gdlxJ4BAA%3D%3D&ccb=9-4&oh=00_AfL1uGsVelu1iOWu90sg1oVj7W7o0Tj_orqWKknxjNi_ig&oe=683E3210&_nc_sid=8b3546,2909,{'edges': [{'node': {'text': 'OMG! This is the dream! 😍⠀\nCredit to @red_hill_equestrian'}}]},{'count': 4},2020-05-11 19:50:45,433,,,feed
2,4,"{'id': '5504881998', 'username': 'horses.mad'}",1717646172809440270,True,https://instagram.flos5-2.fna.fbcdn.net/o1/v/t16/f2/m84/AQOyyPdvcVfxF2guo2F9iEHZtd0hMY6VwiRGizdJnIGo-nKwZVOyZn9fDm77bLx7aDv7XHoSEne2loNanFj4nvrJ0BvJJA-EdtRPrCw.mp4?stp=dst-mp4&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLmZlZWQuYzIuNDgwLmJhc2VsaW5lIn0&_nc_cat=104&vs=2257602061265405_289922614&_nc_vs=HBksFQIYTGlnX2JhY2tmaWxsX3RpbWVsaW5lX3ZvZC83MTQ3QkJEOEI2RDM3QTVEMEMyNjA2QTc1QkI0QTg5Rl92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HRG1YWkJ2bWhWQjVDTFVGQUhnSTkyVGkxb3BlYnBrd0FBQUYVAgLIARIAKAAYABsAFQAAJpC13ary9Y8BFQIoAkMzLBdAICHKwIMSbxgSZGFzaF9iYXNlbGluZV8xX3YxEQB16gdl8J0BAA%3D%3D&ccb=9-4&oh=00_AfKEh5Q6MlIcEBiyAGKBIF8XzQzKADvmxnczfN8wnwGKfQ&oe=683E3512&_nc_sid=8b3546,0,{'edges': [{'node': {'text': 'Best caption wins. GO! 🎉👇⠀\n-⠀\nCredit to @matt_harnacke⠀\n-⠀\n#horses #horse #horselovers #equinephoto #equinephotography #myhorse #horseoftheday #horselover #horsebackriding #horsephotography #horsestagram #horselove #horsesaremylife #equine #horselife #horselovers #horseaddict #horserider #bestofequines #beautifulhorse #horsegirl #equinelove #equestrian #horselove #equestrian #equestrianlife #ilovehorses #pferd #pferde'}}]},{'count': 40},2018-02-18 19:43:29,1200,,,feed
3,5,"{'id': '7806195089', 'username': 'redemptionhillstables'}",3607357498555019583,True,https://instagram.flos5-2.fna.fbcdn.net/o1/v/t16/f2/m86/AQMQuA3zj8BupbywpGlIN4eR3-dcKJyiBI8IIUD0U8SUfUWidACHeu0xoUEkxKCV2XPm8fqS0cfNAf7oS_t9SbmdLya8EQ0ogCRQN4A.mp4?stp=dst-mp4&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLmNsaXBzLmMyLjcyMC5iYXNlbGluZSJ9&_nc_cat=103&vs=634493202761693_4277370902&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC83NzRGRjkwMjQ2NjIyOUQyRkFGNzQzN0UzNDdFQzhCMl92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HS0NoSEIzZ0J0VnJla2tFQVBiczduWHVYd0VoYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJv6I9cX1je0%2FFQIoAkMzLBdAEAAAAAAAABgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&ccb=9-4&oh=00_AfI0s-KNUFJMPq5k1hC_CHDodR6Eu3NOiMua_fx7-JJa-Q&oe=683E5512&_nc_sid=8b3546,34,{'edges': []},{'count': 0},2025-04-10 03:02:37,12,null,,clips
4,6,"{'id': '7806195089', 'username': 'redemptionhillstables'}",3596751879801343631,True,https://instagram.flos5-2.fna.fbcdn.net/o1/v/t16/f2/m86/AQM06EIeo4d5KpOz4QIolyxCnnEx3AORGwvUmRRNt0x9Hf_niaGWisnL-392UHLKMEpsiPfm_8ZgviPs2y1HJuFmbgpE-vEjLfrtVkk.mp4?stp=dst-mp4&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLmNsaXBzLmMyLjcyMC5iYXNlbGluZSJ9&_nc_cat=106&vs=1326800855273426_220254774&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC9BODQxRTBCN0VFMkREN0JFOEVENDRDQTMzOTA1QTg5OV92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HREFSX0J4Z3pIcndMVG9FQUdHYjBGdFgyNmx3YnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJsKvmYmTx8o%2FFQIoAkMzLBdAGxBiTdLxqhgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&ccb=9-4&oh=00_AfJA_zOvz-gXB6tNx3827gLB5b-WpcmwY4_waPdOnt3sXQ&oe=683E4F06&_nc_sid=8b3546,54,{'edges': []},{'count': 0},2025-03-26 11:51:05,8,null,,clips
5,7,"{'id': '7806195089', 'username': 'redemptionhillstables'}",3393230549596802164,True,https://instagram.flos5-2.fna.fbcdn.net/o1/v/t16/f2/m82/AQPtrNi1aW23BPkJ9GIM5NnCKI_ZuTfLb8qMgcTohNGy8vehvmQzUSYnITgy1YIQ5xNMIF7vqM0sCDESVyXnbI7TvtPueKR8L_UnNVs.mp4?stp=dst-mp4&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLmNsaXBzLmMyLjcyMC5iYXNlbGluZSJ9&_nc_cat=104&vs=1694957754645727_758283796&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC9CNzQyQkY0RjlFN0E5RDQ0NzI2Nzc5MTk0QkJCQjc4OF92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HRXY2dlJxbFdWUTBvUWdCQUxDNmlzRHFhTTU0YnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJp6c8efm2oFAFQIoAkMzLBdAMghysCDEnBgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&ccb=9-4&oh=00_AfK6D8a-wiH2xldHZpb0LUlanBihjROyS-51x4wmwv3y0g&oe=683E3F43&_nc_sid=8b3546,51,{'edges': []},{'count': 0},2024-06-18 16:30:50,18,null,,clips
6,8,"{'id': '7806195089', 'username': 'redemptionhillstables'}",3268107004525913596,True,https://instagram.flos5-3.fna.fbcdn.net/o1/v/t16/f2/m82/AQPe1IGOyecuDFICZWAsI-N1T-f5ZtytG-1fNxZH2_mKGEuCNx4QxBrSB9ymAYJsw4HMd5PUGt_-dODwa4tDQA8Dq-PM4m05awJllM8.mp4?stp=dst-mp4&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLmNsaXBzLmMyLjcyMC5iYXNlbGluZSJ9&_nc_cat=107&vs=1287945088545494_1292402528&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC84MzQ2NDI2MkM0RTZCQzA1OTlERDZFQTk3QTgzOTk4Ql92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HUENCdWhoVmJrTFRlWndEQUl0X1ptVFF5RlFWYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJri25vH8hPE%2FFQIoAkMzLBdAJOHKwIMSbxgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&ccb=9-4&oh=00_AfJwHOiI3P8GPvj8SFtQzR2hZJMnlsuzjPuotTm6lP9Z1w&oe=683E53D4&_nc_sid=8b3546,96,{'edges': []},{'count': 0},2023-12-29 01:12:46,8,null,,clips
7,9,"{'id': '7806195089', 'username': 'redemptionhillstables'}",3159489422110741481,True,https://instagram.flos5-3.fna.fbcdn.net/o1/v/t16/f2/m82/AQPuYsQF0tX5YFn94oVH3xYM-cRBd8JQaNQSXsF4qb0x7FfFgW2Duawrknx5uJtVRuqdHc7CItpvqq7ON-UoSk4KjVrmiXysp43Z-eI.mp4?stp=dst-mp4&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLmNsaXBzLmMyLjcyMC5iYXNlbGluZSJ9&_nc_cat=107&vs=1494372288062721_1051557442&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC9BNzQxQ0Y0MEFGOEM1NkNBQTc2N0UwMEFFRDBBMzRBNV92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HRWQ1c0JXTTYya0xFZ2NEQUZzbHhHLTF4blJYYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJurS4enZ7cM%2FFQIoAkMzLBdAMiIMSbpeNRgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&ccb=9-4&oh=00_AfLTf4VZNP-8RN_npGItVmEAUZP5vQY3jAHfrEZZuZbMPw&oe=683E5122&_nc_sid=8b3546,120,{'edges': [{'node': {'text': 'Jack and Rose ❤️ #feelthesting  #metallicmallice'}}]},{'count': 0},2023-08-01 04:29:16,21,null,,clips
8,10,"{'id': '8318809974', 'username': 'rn_performancehorses'}",3644913306964757097,True,https://instagram.flos5-3.fna.fbcdn.net/o1/v/t16/f2/m86/AQMzfQXTtpAtwTVn_fticbS32XVZJED2evev_JsaXnZWoFVthrjVe5hn74qa5kFC2ffVca5mvUWJABftJhZGPmvDT_oPJwz37SRSgjs.mp4?stp=dst-mp4&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLmNsaXBzLmMyLjcyMC5iYXNlbGluZSJ9&_nc_cat=101&vs=1454942929204109_795204313&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC8xRDQzMzhERURCRTQ2MDlBMzBFMkI2NDU0NDI0RDRBOV92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HTW9wU1IxaWxldkdHUWNGQUFqUGxzWGtTNndBYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJurCpoL6n5NAFQIoAkMzLBdAJok3S8an8BgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&ccb=9-4&oh=00_AfI-SffiNWFCjpblsdiQJ0hOdiLPeQJxI6E7d3iiEwiQQQ&oe=683E3BBA&_nc_sid=8b3546,0,{'edges': [{'node': {'text': 'Getting ready for @jjreininginc Steel City Spin show in Ancaster next weekend!\n\n•\n\nAurora and her mare “Jess” making 🌊\n\n•\n\n#rnperformancehorses\n#reining \n#reininghorses\n#reininghorseshow\n#orha\n#nrha\n#aqha'}}]},{'count': 1},2025-05-31 23:09:37,22,"{""id"": ""263432550423582"", ""has_public_page"": true, ""name"": ""Ray Nitti Performance Horses"", ""slug"": ""ray-nitti-performance-horses""}",,clips
9,11,"{'id': '2224903290', 'username': 'rosnortheyphoto'}",3642839538410340893,True,https://instagram.flos5-3.fna.fbcdn.net/o1/v/t16/f2/m86/AQO62c48qVcQIbAbocfrMk0V_Em6-WBApaOvFrbftIwsNTtVJ8SeeFymRqpCK4zdVYdOYHHJSpSqDqE0Db4U2lR8zvsgUwcYuCu12lg.mp4?stp=dst-mp4&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLmNsaXBzLmMyLjcyMC5iYXNlbGluZSJ9&_nc_cat=110&vs=1385858932673852_664862167&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC8yOTQ3NDJENjc5OTdFMDU4QjRGN0YxOEU2NDgzOTdBOF92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HTldBNXgzX05mUTNMU2tGQUh0TXJJLTdnMWhUYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJtDk1Jum%2FbI%2FFQIoAkMzLBdANVU%2FfO2RaBgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&ccb=9-4&oh=00_AfJF_I8CxCQRvAZrHP7PrAUbi0x3Lp7zdrx-01yAcY1WFA&oe=683E3499&_nc_sid=8b3546,0,"{'edges': [{'node': {'text': 'The @rn_performancehorses herd are all enjoying the green pastures and the sunlight, what can be better than this! ☀️🌳\n•\n#raynittiperformancehorses #reining #nrha #spring #farm #foals #aqha'}}]}",{'count': 1},2025-05-29 02:01:45,23,"{""id"": ""263432550423582"", ""has_public_page"": true, ""name"": ""Ray Nitti Performance Horses"", ""slug"": ""ray-nitti-performance-horses""}",,clips
10,12,"{'id': '8318809974', 'username': 'rn_performancehorses'}",3614928627686632178,False,https://instagram.flos5-3.fna.fbcdn.net/o1/v/t16/f2/m86/AQNETDC-X4zxUH5YEdar8IvE2gkzIcslzWR6y-38UNt0lQRTrSupf3zazaC56a6oWEcw2DbOfQeJYjToaDUAXhlrZNI3K9OWWYx7f2U.mp4?stp=dst-mp4&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLmNsaXBzLmMyLjcyMC5iYXNlbGluZSJ9&_nc_cat=110&vs=1007394354668274_2458598445&_nc_vs=HBkcFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC9GQzQ4MTZDRTM4QzM1NzY4NzhDMzg5MzU3NkZCQjRBN192aWRlb19kYXNoaW5pdC5tcDQVAALIARIAKAAYABsAFQAAJoShnIeFw5ZAFQIoAkMzLBdABEOVgQYk3RgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&ccb=9-4&oh=00_AfJOsCJjQjCOrOINebi3PBmzh-KCzGTbWKaEVS4GSpe6mg&oe=683E5418&_nc_sid=8b3546,92,{'edges': [{'node': {'text': '🐣🌷HAPPY EASTER EVERYONE! 🌷🐣'}}]},{'count': 0},2025-04-20 13:45:01,25,null,,clips
11,13,"{'id': '44915117663', 'username': 'jjlavieristables'}",3631123122516217522,True,https://instagram.flos5-2.fna.fbcdn.net/o1/v/t16/f2/m86/AQPHK4EljLt9wGQNveoBzENm2A2N4GT2803JXm33Mr7_6o4a1StsJulGUkZDEzMYmbjaTNGmaJxsez3bBWkQ9AvZtdhsuxO68plB7Jc.mp4?stp=dst-mp4&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLmNsaXBzLmMyLjEyNzYuYmFzZWxpbmUifQ&_nc_cat=106&vs=686829560890571_3991109480&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC9DMDQ0QzIwNDhENzJBMUUwRUVFQ0U1MTQwQTRDQ0ZBMV92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HQkVhU1IwUWJKRkVGZTRFQU9NMlZ6SkoyZFF3YnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJoKPzv2nuf4%2FFQIoAkMzLBdANxmZmZmZmhgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&ccb=9-4&oh=00_AfI_3DLupG57zWQNf4Q7yP3dd7tRb3EON2DjpzGRz6WKNg&oe=683E2DD5&_nc_sid=8b3546,0,{'edges': [{'node': {'text': 'Shenanigans HE … ready to rock and roll 🎸 this week at @fieldstone.showpark 😎👏☀️'}}]},{'count': 0},2025-05-12 22:02:06,32,"{""id"": ""109108874934714"", ""has_public_page"": true, ""name"": ""JJ Lavieri Stables"", ""slug"": ""jj-lavieri-stables""}",,clips
12,14,"{'id': '44915117663', 'username': 'jjlavieristables'}",3630118602410764401,True,https://instagram.flos5-3.fna.fbcdn.net/o1/v/t16/f2/m86/AQPbVzZkRKU6RpbNll7vaNjpg4bSYbbtTwa24hgVycmu2vY27eOETn2Aj1B4gLmIEEhnXLsXiwlwphB5idi4ZIqFy_YOvs2ax-kaBks.mp4?stp=dst-mp4&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLmNsaXBzLmMyLjEyNzYuYmFzZWxpbmUifQ&_nc_cat=108&vs=985182173599160_3220047994&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC81NTQ4M0E0REI5OTQ1RjY1OTUyNzgzNjBBNjU4NEFCMl92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HSW9hcEIxMlBIV0gxWmdJQUM0SjJUTkxma3hpYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJrbxgvfE7MRAFQIoAkMzLBdAHqn752yLRBgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&ccb=9-4&oh=00_AfLjJiPf97pVT1a4qvEAPehJHAD10FutaTmYWnIqiuYKqw&oe=683E49D9&_nc_sid=8b3546,0,{'edges': [{'node': {'text': 'Clinta BF Z tuning up for spring show season 🚀🧨💥🐴 So thrilled with how our outdoor footing has handled this rainy ☔️ weather since our most recent upgrades and maintenance 👏👏👏'}}]},{'count': 1},2025-05-11 12:48:14,42,"{""id"": ""109108874934714"", ""has_public_page"": true, ""name"": ""JJ Lavieri Stables"", ""slug"": ""jj-lavieri-stables""}",,clips
13,15,"{'id': '44915117663', 'username': 'jjlavieristables'}",3612801240191910571,True,https://instagram.flos5-2.fna.fbcdn.net/o1/v/t16/f2/m86/AQODGeDC4tB9o7mWThluYMqOMxGDaBZCKILk9DU4oabOWs7MIQHzhjmAyHmiTJ61cTVTtpuJbM35NGihFOt5woEYaaHV22cOLhRqRbc.mp4?stp=dst-mp4&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLmNsaXBzLmMyLjYzOC5iYXNlbGluZSJ9&_nc_cat=103&vs=1730656104331109_2794270363&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC9GOTQ0QzREMERDOTNCRTBGQTAzMkQyREY0NkM5OTU4NF92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HR2dhU1IwcWNMazlzMDhFQUtpTWN2SHFrYnBJYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJsTI7oPT4sc%2FFQIoAkMzLBdAIVocrAgxJxgSZGFzaF9iYXNlbGluZV8zX3YxEQB1%2Fgdl5p0BAA%3D%3D&ccb=9-4&oh=00_AfIq0RsRSZJxjTEZjbKNC9biMrhsX-_giDvR8j46hgLrMg&oe=683E4F0F&_nc_sid=8b3546,299,{'edges': [{'node': {'text': 'Apparently old married ladies can jump 🤪😃🐴💪🏼 @hunarals'}}]},{'count': 1},2025-04-17 15:18:20,46,null,,clips
14,16,"{'id': '17765993292', 'username': 'kerija_horsemanship'}",3632842689560667493,True,https://instagram.flos5-2.fna.fbcdn.net/o1/v/t16/f2/m86/AQN9vI_uRjWt_Z4zemjOgmB1JvKUlZ3MkCuNXDyyrYnnSpbjlOJEXPHtbCSqy0a-QJAxJVlFys8YBKVbiWGq_V9NhMGOu6bdfyRnmas.mp4?stp=dst-mp4&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLmNsaXBzLmMyLjcyMC5iYXNlbGluZSJ9&_nc_cat=104&vs=1413229303334796_385889791&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC80MDRCMDBFQkZBQjVEOUREMjQwNTI4RjBGM0QzREM5RV92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HR3F3ckIwejRXS3pkWG9DQUZMVmdRZHNDajBQYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJtbKya3koo5AFQIoAkMzLBdAUddsi0OVgRgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&ccb=9-4&oh=00_AfKCkzwId0rDxhldMCI27zHD59karz0jp1uOAxOy8J2O_A&oe=683E3E4F&_nc_sid=8b3546,0,"{'edges': [{'node': {'text': 'einen Schritt zurücktreten, bevor man weitermacht – hat sich gelohnt!\n\nklare und gleichmäßige Übergänge in den Galopp (ohne Bocken!), gleichmäßiges Tempo, Halten eines Zirkels! und das auf dem großen Reitplatz!\n\nwir hatten im Moment eine problematische Zeit auf der großen Reithalle. Arizona war sich nicht sicher, wohin sie gehen sollte und wie sie im Kreis bleiben sollte. \nUnser Hauptproblem war das Losreißen vom Zirkel und der emotionale Übergang im Galopp\n\nalso beschloss ich, einen Schritt zurückzutreten. Arbeite am Galopp im Roundpen\n\n und arbeite daran, einen schönen Zirkel mit gleichmäßigem Tempo und Rhythmus im Trab zu bilden und alle meine Hilfen im Schritt näher zu erklären!\n\nwie man Probleme im Pferdetraining behebt – isolieren, trennen und kombinieren!\n\nIt paid off and look at that nice canter 🥰'}}]}",{'count': 1},2025-05-15 07:07:16,12,null,,clips
15,17,"{'id': '17765993292', 'username': 'kerija_horsemanship'}",3631530032321606754,True,https://instagram.flos5-2.fna.fbcdn.net/o1/v/t16/f2/m86/AQNS_MSyFZjk479sux-JYhzIYaeajiHPZ4iI7G-Y1rPnUP6ijbl5zlJRrPWE9yX8gH6Ry7yYuJ-_SYRkOkreNY2ORfBOQwB_P93aCxI.mp4?stp=dst-mp4&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLmNsaXBzLmMyLjcyMC5iYXNlbGluZSJ9&_nc_cat=105&vs=2031032864382992_2075271148&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC9FMjQyOTcwQjBDRTEyODQwNkIwNzk4M0Y5REY5OThBOV92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HTDhabFIxYnpxcU56ZDREQURwTEdhM3N4Wk1wYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJqjKkafsk6BAFQIoAkMzLBdAKIgxJul41RgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&ccb=9-4&oh=00_AfJ4aHk3tZUTr2D1L8ck_63hPZRPLItqyUGskWMmFYJV-w&oe=683E4DD9&_nc_sid=8b3546,0,"{'edges': [{'node': {'text': '🥳🤠🥳heute feiere ich den offiziellen Start meiner Selbstständigkeit!  1 Jahr !!! \n\nIch bin so dankbar für jeden Kunden und jedes Pferd, das ich kennenlernen durfte! Und danke für eure Ermutigungen und euer positives Feedback, das mich anspornt, noch besser zu werden! 🥰🥰🥰wiihuuu❣️💯'}}]}",{'count': 10},2025-05-13 11:34:57,45,null,,clips
